Segment,Country,Product,Discount Band,Units Sold,Manufacturing Price,Sale Price,Gross Sales,Discounts, Sales,COGS,Profit,Date,Month Number,Month Name,Year,
Enterprise,United States of America,Montana,Low,663,US$5.00,US$125.00,"US$82,875.00",US$828.75,"US$82,046.25","US$79,560.00","US$2,486.25",10/01/13,10,October,2013,
Midmarket,United States of America,Paseo,Low,1514,US$10.00,US$15.00,"US$22,710.00",US$227.10,"US$22,482.90","US$15,140.00","US$7,342.90",02/01/14,2,February,2014,
Government,United States of America,Paseo,Low,4492.5,US$10.00,US$7.00,"US$31,447.50",US$314.48,"US$31,133.03","US$22,462.50","US$8,670.53",04/01/14,4,April,2014,
Enterprise,United States of America,Paseo,Low,727,US$10.00,US$125.00,"US$90,875.00",US$908.75,"US$89,966.25","US$87,240.00","US$2,726.25",06/01/14,6,June,2014,
Enterprise,France,Paseo,Low,787,US$10.00,US$125.00,"US$98,375.00",US$983.75,"US$97,391.25","US$94,440.00","US$2,951.25",06/01/14,6,June,2014,
Enterprise,Mexico,Paseo,Low,1823,US$10.00,US$125.00,"US$227,875.00","US$2,278.75","US$225,596.25","US$218,760.00","US$6,836.25",07/01/14,7,July,2014,
Midmarket,Germany,Paseo,Low,747,US$10.00,US$15.00,"US$11,205.00",US$112.05,"US$11,092.95","US$7,470.00","US$3,622.95",09/01/14,9,September,2014,
Channel Partners,Germany,Paseo,Low,766,US$10.00,US$12.00,"US$9,192.00",US$91.92,"US$9,100.08","US$2,298.00","US$6,802.08",10/01/13,10,October,2013,
Small Business,United States of America,Paseo,Low,2905,US$10.00,US$300.00,"US$871,500.00","US$8,715.00","US$862,785.00","US$726,250.00","US$136,535.00",11/01/14,11,November,2014,
Government,France,Paseo,Low,2155,US$10.00,US$350.00,"US$754,250.00","US$7,542.50","US$746,707.50","US$560,300.00","US$186,407.50",12/01/14,12,December,2014,
Government,France,Velo,Low,3864,US$120.00,US$20.00,"US$77,280.00",US$772.80,"US$76,507.20","US$38,640.00","US$37,867.20",04/01/14,4,April,2014,
Government,Mexico,Velo,Low,362,US$120.00,US$7.00,"US$2,534.00",US$25.34,"US$2,508.66","US$1,810.00",US$698.66,05/01/14,5,May,2014,
Enterprise,Canada,Velo,Low,923,US$120.00,US$125.00,"US$115,375.00","US$1,153.75","US$114,221.25","US$110,760.00","US$3,461.25",08/01/14,8,August,2014,
Enterprise,United States of America,Velo,Low,663,US$120.00,US$125.00,"US$82,875.00",US$828.75,"US$82,046.25","US$79,560.00","US$2,486.25",10/01/13,10,October,2013,
Government,Canada,Velo,Low,2092,US$120.00,US$7.00,"US$14,644.00",US$146.44,"US$14,497.56","US$10,460.00","US$4,037.56",11/01/13,11,November,2013,
Government,Germany,VTT,Low,263,US$250.00,US$7.00,"US$1,841.00",US$18.41,"US$1,822.59","US$1,315.00",US$507.59,03/01/14,3,March,2014,
Government,Canada,VTT,Low,943.5,US$250.00,US$350.00,"US$330,225.00","US$3,302.25","US$326,922.75","US$245,310.00","US$81,612.75",04/01/14,4,April,2014,
Enterprise,United States of America,VTT,Low,727,US$250.00,US$125.00,"US$90,875.00",US$908.75,"US$89,966.25","US$87,240.00","US$2,726.25",06/01/14,6,June,2014,
Enterprise,France,VTT,Low,787,US$250.00,US$125.00,"US$98,375.00",US$983.75,"US$97,391.25","US$94,440.00","US$2,951.25",06/01/14,6,June,2014,
Small Business,Germany,VTT,Low,986,US$250.00,US$300.00,"US$295,800.00","US$2,958.00","US$292,842.00","US$246,500.00","US$46,342.00",09/01/14,9,September,2014,
Small Business,Mexico,VTT,Low,494,US$250.00,US$300.00,"US$148,200.00","US$1,482.00","US$146,718.00","US$123,500.00","US$23,218.00",10/01/13,10,October,2013,
Government,Mexico,VTT,Low,1397,US$250.00,US$350.00,"US$488,950.00","US$4,889.50","US$484,060.50","US$363,220.00","US$120,840.50",10/01/14,10,October,2014,
Enterprise,France,VTT,Low,1744,US$250.00,US$125.00,"US$218,000.00","US$2,180.00","US$215,820.00","US$209,280.00","US$6,540.00",11/01/14,11,November,2014,
Channel Partners,United States of America,Amarilla,Low,1989,US$260.00,US$12.00,"US$23,868.00",US$238.68,"US$23,629.32","US$5,967.00","US$17,662.32",09/01/13,9,September,2013,
Midmarket,France,Amarilla,Low,321,US$260.00,US$15.00,"US$4,815.00",US$48.15,"US$4,766.85","US$3,210.00","US$1,556.85",11/01/13,11,November,2013,
Enterprise,Canada,Carretera,Low,742.5,US$3.00,US$125.00,"US$92,812.50","US$1,856.25","US$90,956.25","US$89,100.00","US$1,856.25",04/01/14,4,April,2014,
Channel Partners,Canada,Carretera,Low,1295,US$3.00,US$12.00,"US$15,540.00",US$310.80,"US$15,229.20","US$3,885.00","US$11,344.20",10/01/14,10,October,2014,
Small Business,Germany,Carretera,Low,214,US$3.00,US$300.00,"US$64,200.00","US$1,284.00","US$62,916.00","US$53,500.00","US$9,416.00",10/01/13,10,October,2013,
Government,France,Carretera,Low,2145,US$3.00,US$7.00,"US$15,015.00",US$300.30,"US$14,714.70","US$10,725.00","US$3,989.70",11/01/13,11,November,2013,
Government,Canada,Carretera,Low,2852,US$3.00,US$350.00,"US$998,200.00","US$19,964.00","US$978,236.00","US$741,520.00","US$236,716.00",12/01/14,12,December,2014,
Channel Partners,United States of America,Montana,Low,1142,US$5.00,US$12.00,"US$13,704.00",US$274.08,"US$13,429.92","US$3,426.00","US$10,003.92",06/01/14,6,June,2014,
Government,United States of America,Montana,Low,1566,US$5.00,US$20.00,"US$31,320.00",US$626.40,"US$30,693.60","US$15,660.00","US$15,033.60",10/01/14,10,October,2014,
Channel Partners,Mexico,Montana,Low,690,US$5.00,US$12.00,"US$8,280.00",US$165.60,"US$8,114.40","US$2,070.00","US$6,044.40",11/01/14,11,November,2014,
Enterprise,Mexico,Montana,Low,1660,US$5.00,US$125.00,"US$207,500.00","US$4,150.00","US$203,350.00","US$199,200.00","US$4,150.00",11/01/13,11,November,2013,
Midmarket,Canada,Paseo,Low,2363,US$10.00,US$15.00,"US$35,445.00",US$708.90,"US$34,736.10","US$23,630.00","US$11,106.10",02/01/14,2,February,2014,
Small Business,France,Paseo,Low,918,US$10.00,US$300.00,"US$275,400.00","US$5,508.00","US$269,892.00","US$229,500.00","US$40,392.00",05/01/14,5,May,2014,
Small Business,Germany,Paseo,Low,1728,US$10.00,US$300.00,"US$518,400.00","US$10,368.00","US$508,032.00","US$432,000.00","US$76,032.00",05/01/14,5,May,2014,
Channel Partners,United States of America,Paseo,Low,1142,US$10.00,US$12.00,"US$13,704.00",US$274.08,"US$13,429.92","US$3,426.00","US$10,003.92",06/01/14,6,June,2014,
Enterprise,Mexico,Paseo,Low,662,US$10.00,US$125.00,"US$82,750.00","US$1,655.00","US$81,095.00","US$79,440.00","US$1,655.00",06/01/14,6,June,2014,
Channel Partners,Canada,Paseo,Low,1295,US$10.00,US$12.00,"US$15,540.00",US$310.80,"US$15,229.20","US$3,885.00","US$11,344.20",10/01/14,10,October,2014,
Enterprise,Germany,Paseo,Low,809,US$10.00,US$125.00,"US$101,125.00","US$2,022.50","US$99,102.50","US$97,080.00","US$2,022.50",10/01/13,10,October,2013,
Enterprise,Mexico,Paseo,Low,2145,US$10.00,US$125.00,"US$268,125.00","US$5,362.50","US$262,762.50","US$257,400.00","US$5,362.50",10/01/13,10,October,2013,
Channel Partners,France,Paseo,Low,1785,US$10.00,US$12.00,"US$21,420.00",US$428.40,"US$20,991.60","US$5,355.00","US$15,636.60",11/01/13,11,November,2013,
Small Business,Canada,Paseo,Low,1916,US$10.00,US$300.00,"US$574,800.00","US$11,496.00","US$563,304.00","US$479,000.00","US$84,304.00",12/01/14,12,December,2014,
Government,Canada,Paseo,Low,2852,US$10.00,US$350.00,"US$998,200.00","US$19,964.00","US$978,236.00","US$741,520.00","US$236,716.00",12/01/14,12,December,2014,
Enterprise,Canada,Paseo,Low,2729,US$10.00,US$125.00,"US$341,125.00","US$6,822.50","US$334,302.50","US$327,480.00","US$6,822.50",12/01/14,12,December,2014,
Midmarket,United States of America,Paseo,Low,1925,US$10.00,US$15.00,"US$28,875.00",US$577.50,"US$28,297.50","US$19,250.00","US$9,047.50",12/01/13,12,December,2013,
Government,United States of America,Paseo,Low,2013,US$10.00,US$7.00,"US$14,091.00",US$281.82,"US$13,809.18","US$10,065.00","US$3,744.18",12/01/13,12,December,2013,
Channel Partners,France,Paseo,Low,1055,US$10.00,US$12.00,"US$12,660.00",US$253.20,"US$12,406.80","US$3,165.00","US$9,241.80",12/01/14,12,December,2014,
Channel Partners,Mexico,Paseo,Low,1084,US$10.00,US$12.00,"US$13,008.00",US$260.16,"US$12,747.84","US$3,252.00","US$9,495.84",12/01/14,12,December,2014,
Government,United States of America,Velo,Low,1566,US$120.00,US$20.00,"US$31,320.00",US$626.40,"US$30,693.60","US$15,660.00","US$15,033.60",10/01/14,10,October,2014,
Government,Germany,Velo,Low,2966,US$120.00,US$350.00,"US$1,038,100.00","US$20,762.00","US$1,017,338.00","US$771,160.00","US$246,178.00",10/01/13,10,October,2013,
Government,Germany,Velo,Low,2877,US$120.00,US$350.00,"US$1,006,950.00","US$20,139.00","US$986,811.00","US$748,020.00","US$238,791.00",10/01/14,10,October,2014,
Enterprise,Germany,Velo,Low,809,US$120.00,US$125.00,"US$101,125.00","US$2,022.50","US$99,102.50","US$97,080.00","US$2,022.50",10/01/13,10,October,2013,
Enterprise,Mexico,Velo,Low,2145,US$120.00,US$125.00,"US$268,125.00","US$5,362.50","US$262,762.50","US$257,400.00","US$5,362.50",10/01/13,10,October,2013,
Channel Partners,France,Velo,Low,1055,US$120.00,US$12.00,"US$12,660.00",US$253.20,"US$12,406.80","US$3,165.00","US$9,241.80",12/01/14,12,December,2014,
Government,Mexico,Velo,Low,544,US$120.00,US$20.00,"US$10,880.00",US$217.60,"US$10,662.40","US$5,440.00","US$5,222.40",12/01/13,12,December,2013,
Channel Partners,Mexico,Velo,Low,1084,US$120.00,US$12.00,"US$13,008.00",US$260.16,"US$12,747.84","US$3,252.00","US$9,495.84",12/01/14,12,December,2014,
Enterprise,Mexico,VTT,Low,662,US$250.00,US$125.00,"US$82,750.00","US$1,655.00","US$81,095.00","US$79,440.00","US$1,655.00",06/01/14,6,June,2014,
Small Business,Germany,VTT,Low,214,US$250.00,US$300.00,"US$64,200.00","US$1,284.00","US$62,916.00","US$53,500.00","US$9,416.00",10/01/13,10,October,2013,
Government,Germany,VTT,Low,2877,US$250.00,US$350.00,"US$1,006,950.00","US$20,139.00","US$986,811.00","US$748,020.00","US$238,791.00",10/01/14,10,October,2014,
Enterprise,Canada,VTT,Low,2729,US$250.00,US$125.00,"US$341,125.00","US$6,822.50","US$334,302.50","US$327,480.00","US$6,822.50",12/01/14,12,December,2014,
Government,United States of America,VTT,Low,266,US$250.00,US$350.00,"US$93,100.00","US$1,862.00","US$91,238.00","US$69,160.00","US$22,078.00",12/01/13,12,December,2013,
Government,Mexico,VTT,Low,1940,US$250.00,US$350.00,"US$679,000.00","US$13,580.00","US$665,420.00","US$504,400.00","US$161,020.00",12/01/13,12,December,2013,
Small Business,Germany,Amarilla,Low,259,US$260.00,US$300.00,"US$77,700.00","US$1,554.00","US$76,146.00","US$64,750.00","US$11,396.00",03/01/14,3,March,2014,
Small Business,Mexico,Amarilla,Low,1101,US$260.00,US$300.00,"US$330,300.00","US$6,606.00","US$323,694.00","US$275,250.00","US$48,444.00",03/01/14,3,March,2014,
Enterprise,Germany,Amarilla,Low,2276,US$260.00,US$125.00,"US$284,500.00","US$5,690.00","US$278,810.00","US$273,120.00","US$5,690.00",05/01/14,5,May,2014,
Government,Germany,Amarilla,Low,2966,US$260.00,US$350.00,"US$1,038,100.00","US$20,762.00","US$1,017,338.00","US$771,160.00","US$246,178.00",10/01/13,10,October,2013,
Government,United States of America,Amarilla,Low,1236,US$260.00,US$20.00,"US$24,720.00",US$494.40,"US$24,225.60","US$12,360.00","US$11,865.60",11/01/14,11,November,2014,
Government,France,Amarilla,Low,941,US$260.00,US$20.00,"US$18,820.00",US$376.40,"US$18,443.60","US$9,410.00","US$9,033.60",11/01/14,11,November,2014,
Small Business,Canada,Amarilla,Low,1916,US$260.00,US$300.00,"US$574,800.00","US$11,496.00","US$563,304.00","US$479,000.00","US$84,304.00",12/01/14,12,December,2014,
Enterprise,France,Carretera,Low,4243.5,US$3.00,US$125.00,"US$530,437.50","US$15,913.13","US$514,524.38","US$509,220.00","US$5,304.38",04/01/14,4,April,2014,
Government,Germany,Carretera,Low,2580,US$3.00,US$20.00,"US$51,600.00","US$1,548.00","US$50,052.00","US$25,800.00","US$24,252.00",04/01/14,4,April,2014,
Small Business,Germany,Carretera,Low,689,US$3.00,US$300.00,"US$206,700.00","US$6,201.00","US$200,499.00","US$172,250.00","US$28,249.00",06/01/14,6,June,2014,
Channel Partners,United States of America,Carretera,Low,1947,US$3.00,US$12.00,"US$23,364.00",US$700.92,"US$22,663.08","US$5,841.00","US$16,822.08",09/01/14,9,September,2014,
Channel Partners,Canada,Carretera,Low,908,US$3.00,US$12.00,"US$10,896.00",US$326.88,"US$10,569.12","US$2,724.00","US$7,845.12",12/01/13,12,December,2013,
Government,Germany,Montana,Low,1958,US$5.00,US$7.00,"US$13,706.00",US$411.18,"US$13,294.82","US$9,790.00","US$3,504.82",02/01/14,2,February,2014,
Channel Partners,France,Montana,Low,1901,US$5.00,US$12.00,"US$22,812.00",US$684.36,"US$22,127.64","US$5,703.00","US$16,424.64",06/01/14,6,June,2014,
Government,France,Montana,Low,544,US$5.00,US$7.00,"US$3,808.00",US$114.24,"US$3,693.76","US$2,720.00",US$973.76,09/01/14,9,September,2014,
Government,Germany,Montana,Low,1797,US$5.00,US$350.00,"US$628,950.00","US$18,868.50","US$610,081.50","US$467,220.00","US$142,861.50",09/01/13,9,September,2013,
Enterprise,France,Montana,Low,1287,US$5.00,US$125.00,"US$160,875.00","US$4,826.25","US$156,048.75","US$154,440.00","US$1,608.75",12/01/14,12,December,2014,
Enterprise,Germany,Montana,Low,1706,US$5.00,US$125.00,"US$213,250.00","US$6,397.50","US$206,852.50","US$204,720.00","US$2,132.50",12/01/14,12,December,2014,
Small Business,France,Paseo,Low,2434.5,US$10.00,US$300.00,"US$730,350.00","US$21,910.50","US$708,439.50","US$608,625.00","US$99,814.50",01/01/14,1,January,2014,
Enterprise,Canada,Paseo,Low,1774,US$10.00,US$125.00,"US$221,750.00","US$6,652.50","US$215,097.50","US$212,880.00","US$2,217.50",03/01/14,3,March,2014,
Channel Partners,France,Paseo,Low,1901,US$10.00,US$12.00,"US$22,812.00",US$684.36,"US$22,127.64","US$5,703.00","US$16,424.64",06/01/14,6,June,2014,
Small Business,Germany,Paseo,Low,689,US$10.00,US$300.00,"US$206,700.00","US$6,201.00","US$200,499.00","US$172,250.00","US$28,249.00",06/01/14,6,June,2014,
Enterprise,Germany,Paseo,Low,1570,US$10.00,US$125.00,"US$196,250.00","US$5,887.50","US$190,362.50","US$188,400.00","US$1,962.50",06/01/14,6,June,2014,
Channel Partners,United States of America,Paseo,Low,1369.5,US$10.00,US$12.00,"US$16,434.00",US$493.02,"US$15,940.98","US$4,108.50","US$11,832.48",07/01/14,7,July,2014,
